ID;NAME;PREFIXES AS URL;INDEGREE;TOTAL KNOWN PAGES;CRAWLED PAGES;STATUS;LAST MODIFICATION DATE;"ID,""NAME"",""PREFIXES AS URL"",""INDEGREE"",""TOTAL KNOWN PAGES"",""CRAWLED PAGES"",""STATUS"",""LAST MODIFICATION DATE"""
72;afromodernidades.Wordpress.com;http://afromodernidades.wordpress.com http://www.afromodernidades.wordpress.com https://afromodernidades.wordpress.com https://www.afromodernidades.wordpress.com;3;44;0;IN;2019-10-03T10:39:11.381Z;"72,""afromodernidades.Wordpress.com"",""http://afromodernidades.wordpress.com http://www.afromodernidades.wordpress.com https://afromodernidades.wordpress.com https://www.afromodernidades.wordpress.com"",""3"",""44"",""0"",""IN"",""2019-10-03T10:39:11.381Z"""
74;wicuba.files.Wordpress.com;http://wicuba.files.wordpress.com http://www.wicuba.files.wordpress.com https://wicuba.files.wordpress.com https://www.wicuba.files.wordpress.com;1;1;0;IN;2019-10-03T10:42:01.224Z;"74,""wicuba.files.Wordpress.com"",""http://wicuba.files.wordpress.com http://www.wicuba.files.wordpress.com https://wicuba.files.wordpress.com https://www.wicuba.files.wordpress.com"",""1"",""1"",""0"",""IN"",""2019-10-03T10:42:01.224Z"""
83;Us-Cubanormalization.org;http://us-cubanormalization.org http://www.us-cubanormalization.org https://us-cubanormalization.org https://www.us-cubanormalization.org;1;1;0;IN;2019-10-03T10:42:06.834Z;"83,""Us-Cubanormalization.org"",""http://us-cubanormalization.org http://www.us-cubanormalization.org https://us-cubanormalization.org https://www.us-cubanormalization.org"",""1"",""1"",""0"",""IN"",""2019-10-03T10:42:06.834Z"""
88;Havanatimes.org;http://havanatimes.org http://www.havanatimes.org https://havanatimes.org https://www.havanatimes.org;2;55;0;IN;2019-10-03T10:48:14.563Z;"88,""Havanatimes.org"",""http://havanatimes.org http://www.havanatimes.org https://havanatimes.org https://www.havanatimes.org"",""2"",""55"",""0"",""IN"",""2019-10-03T10:48:14.563Z"""
89;Diariodecuba.com;http://diariodecuba.com http://www.diariodecuba.com https://diariodecuba.com https://www.diariodecuba.com;3;42;0;IN;2019-10-03T10:45:27.021Z;"89,""Diariodecuba.com"",""http://diariodecuba.com http://www.diariodecuba.com https://diariodecuba.com https://www.diariodecuba.com"",""3"",""42"",""0"",""IN"",""2019-10-03T10:45:27.021Z"""
96;Cambiosencuba.blogspot.com;http://cambiosencuba.blogspot.com http://www.cambiosencuba.blogspot.com https://cambiosencuba.blogspot.com https://www.cambiosencuba.blogspot.com;1;1;0;IN;2019-10-03T10:45:10.506Z;"96,""Cambiosencuba.blogspot.com"",""http://cambiosencuba.blogspot.com http://www.cambiosencuba.blogspot.com https://cambiosencuba.blogspot.com https://www.cambiosencuba.blogspot.com"",""1"",""1"",""0"",""IN"",""2019-10-03T10:45:10.506Z"""
100;Cubaliteraria.cu;http://cubaliteraria.cu http://www.cubaliteraria.cu https://cubaliteraria.cu https://www.cubaliteraria.cu;2;4;0;IN;2019-10-03T10:45:22.647Z;"100,""Cubaliteraria.cu"",""http://cubaliteraria.cu http://www.cubaliteraria.cu https://cubaliteraria.cu https://www.cubaliteraria.cu"",""2"",""4"",""0"",""IN"",""2019-10-03T10:45:22.647Z"""
101;Oncubamagazine.com;http://oncubamagazine.com http://www.oncubamagazine.com https://oncubamagazine.com https://www.oncubamagazine.com;2;20;0;IN;2019-10-03T10:45:14.909Z;"101,""Oncubamagazine.com"",""http://oncubamagazine.com http://www.oncubamagazine.com https://oncubamagazine.com https://www.oncubamagazine.com"",""2"",""20"",""0"",""IN"",""2019-10-03T10:45:14.909Z"""
110;Cubaencuentro.com;http://cubaencuentro.com http://www.cubaencuentro.com https://cubaencuentro.com https://www.cubaencuentro.com;1;12;0;IN;2019-10-03T10:44:45.197Z;"110,""Cubaencuentro.com"",""http://cubaencuentro.com http://www.cubaencuentro.com https://cubaencuentro.com https://www.cubaencuentro.com"",""1"",""12"",""0"",""IN"",""2019-10-03T10:44:45.197Z"""
114;Cuba50.org;http://cuba50.org http://www.cuba50.org https://cuba50.org https://www.cuba50.org;1;2;0;IN;2019-10-03T10:44:56.884Z;"114,""Cuba50.org"",""http://cuba50.org http://www.cuba50.org https://cuba50.org https://www.cuba50.org"",""1"",""2"",""0"",""IN"",""2019-10-03T10:44:56.884Z"""
116;Cubanow.net;http://cubanow.net http://www.cubanow.net https://cubanow.net https://www.cubanow.net;1;25;0;IN;2019-10-03T10:44:23.018Z;"116,""Cubanow.net"",""http://cubanow.net http://www.cubanow.net https://cubanow.net https://www.cubanow.net"",""1"",""25"",""0"",""IN"",""2019-10-03T10:44:23.018Z"""
128;Cubainformacion.tv;http://cubainformacion.tv http://www.cubainformacion.tv https://cubainformacion.tv https://www.cubainformacion.tv;2;6;0;IN;2019-10-03T10:45:22.178Z;"128,""Cubainformacion.tv"",""http://cubainformacion.tv http://www.cubainformacion.tv https://cubainformacion.tv https://www.cubainformacion.tv"",""2"",""6"",""0"",""IN"",""2019-10-03T10:45:22.178Z"""
129;Cibercuba.com;http://cibercuba.com http://www.cibercuba.com https://cibercuba.com https://www.cibercuba.com;1;13;0;IN;2019-10-03T10:45:03.038Z;"129,""Cibercuba.com"",""http://cibercuba.com http://www.cibercuba.com https://cibercuba.com https://www.cibercuba.com"",""1"",""13"",""0"",""IN"",""2019-10-03T10:45:03.038Z"""
130;Blacklionproduction.net;http://blacklionproduction.net http://www.blacklionproduction.net https://blacklionproduction.net https://www.blacklionproduction.net;1;1;0;IN;2019-10-03T10:49:14.254Z;"130,""Blacklionproduction.net"",""http://blacklionproduction.net http://www.blacklionproduction.net https://blacklionproduction.net https://www.blacklionproduction.net"",""1"",""1"",""0"",""IN"",""2019-10-03T10:49:14.254Z"""
131;Lahabanaenclavedesol.blogspot.com;http://lahabanaenclavedesol.blogspot.com http://www.lahabanaenclavedesol.blogspot.com https://lahabanaenclavedesol.blogspot.com https://www.lahabanaenclavedesol.blogspot.com;1;4;0;IN;2019-10-03T10:47:45.606Z;"131,""Lahabanaenclavedesol.blogspot.com"",""http://lahabanaenclavedesol.blogspot.com http://www.lahabanaenclavedesol.blogspot.com https://lahabanaenclavedesol.blogspot.com https://www.lahabanaenclavedesol.blogspot.com"",""1"",""4"",""0"",""IN"",""2019-10-03T10:47:45.606Z"""
133;Cubanet.org;http://cubanet.org http://www.cubanet.org https://cubanet.org https://www.cubanet.org;2;15;0;IN;2019-10-03T10:45:23.114Z;"133,""Cubanet.org"",""http://cubanet.org http://www.cubanet.org https://cubanet.org https://www.cubanet.org"",""2"",""15"",""0"",""IN"",""2019-10-03T10:45:23.114Z"""
134;Cubaesotrahistoria.com.ar;http://cubaesotrahistoria.com.ar http://www.cubaesotrahistoria.com.ar https://cubaesotrahistoria.com.ar https://www.cubaesotrahistoria.com.ar;1;1;0;IN;2019-10-03T10:44:45.980Z;"134,""Cubaesotrahistoria.com.ar"",""http://cubaesotrahistoria.com.ar http://www.cubaesotrahistoria.com.ar https://cubaesotrahistoria.com.ar https://www.cubaesotrahistoria.com.ar"",""1"",""1"",""0"",""IN"",""2019-10-03T10:44:45.980Z"""
135;Twitter.com /TRMAfrohispana;http://twitter.com/TRMAfrohispana http://www.twitter.com/TRMAfrohispana https://twitter.com/TRMAfrohispana https://www.twitter.com/TRMAfrohispana;1;2;0;IN;2019-10-03T10:39:53.734Z;"135,""Twitter.com /TRMAfrohispana"",""http://twitter.com/TRMAfrohispana http://www.twitter.com/TRMAfrohispana https://twitter.com/TRMAfrohispana https://www.twitter.com/TRMAfrohispana"",""1"",""2"",""0"",""IN"",""2019-10-03T10:39:53.734Z"""
125;Cubasi.cu;http://cubasi.cu http://www.cubasi.cu https://cubasi.cu https://www.cubasi.cu;1;10;0;IN;2019-10-03T10:43:17.019Z;"125,""Cubasi.cu"",""http://cubasi.cu http://www.cubasi.cu https://cubasi.cu https://www.cubasi.cu"",""1"",""10"",""0"",""IN"",""2019-10-03T10:43:17.019Z"""
126;Screenafrica.com;http://screenafrica.com http://www.screenafrica.com https://screenafrica.com https://www.screenafrica.com;1;1;0;IN;2019-10-03T10:48:52.351Z;"126,""Screenafrica.com"",""http://screenafrica.com http://www.screenafrica.com https://screenafrica.com https://www.screenafrica.com"",""1"",""1"",""0"",""IN"",""2019-10-03T10:48:52.351Z"""
144;Proyectoafro.blogspot.com;http://proyectoafro.blogspot.com http://www.proyectoafro.blogspot.com https://proyectoafro.blogspot.com https://www.proyectoafro.blogspot.com;1;1;0;IN;2019-10-03T10:39:45.917Z;"144,""Proyectoafro.blogspot.com"",""http://proyectoafro.blogspot.com http://www.proyectoafro.blogspot.com https://proyectoafro.blogspot.com https://www.proyectoafro.blogspot.com"",""1"",""1"",""0"",""IN"",""2019-10-03T10:39:45.917Z"""
150;Theblackchoice.com;http://theblackchoice.com http://www.theblackchoice.com https://theblackchoice.com https://www.theblackchoice.com;1;1;0;IN;2019-10-03T10:49:25.941Z;"150,""Theblackchoice.com"",""http://theblackchoice.com http://www.theblackchoice.com https://theblackchoice.com https://www.theblackchoice.com"",""1"",""1"",""0"",""IN"",""2019-10-03T10:49:25.941Z"""
