ID;NAME;PREFIXES AS URL;INDEGREE;TOTAL KNOWN PAGES;CRAWLED PAGES;STATUS;LAST MODIFICATION DATE;"ID,""NAME"",""PREFIXES AS URL"",""INDEGREE"",""TOTAL KNOWN PAGES"",""CRAWLED PAGES"",""STATUS"",""LAST MODIFICATION DATE"""
121;afrocubalgbtiq.Wordpress.com;http://afrocubalgbtiq.wordpress.com http://www.afrocubalgbtiq.wordpress.com https://afrocubalgbtiq.wordpress.com https://www.afrocubalgbtiq.wordpress.com;2;126;17;IN;2019-11-21T16:09:50.482Z;"121,""afrocubalgbtiq.Wordpress.com"",""http://afrocubalgbtiq.wordpress.com http://www.afrocubalgbtiq.wordpress.com https://afrocubalgbtiq.wordpress.com https://www.afrocubalgbtiq.wordpress.com"",""2"",""126"",""17"",""IN"",""2019-11-21T16:09:50.482Z"""
144;afromodernidades.Wordpress.com;http://afromodernidades.wordpress.com http://www.afromodernidades.wordpress.com https://afromodernidades.wordpress.com https://www.afromodernidades.wordpress.com;5;880;93;IN;2019-11-21T16:09:50.471Z;"144,""afromodernidades.Wordpress.com"",""http://afromodernidades.wordpress.com http://www.afromodernidades.wordpress.com https://afromodernidades.wordpress.com https://www.afromodernidades.wordpress.com"",""5"",""880"",""93"",""IN"",""2019-11-21T16:09:50.471Z"""
442;Araac.org;http://araac.org http://www.araac.org https://araac.org https://www.araac.org;2;33;9;IN;2019-11-28T13:47:55.514Z;"442,""Araac.org"",""http://araac.org http://www.araac.org https://araac.org https://www.araac.org"",""2"",""33"",""9"",""IN"",""2019-11-28T13:47:55.514Z"""
3;Directoriodeafrocubanas.com;http://directoriodeafrocubanas.com http://www.directoriodeafrocubanas.com https://directoriodeafrocubanas.com https://www.directoriodeafrocubanas.com;5;1073;197;IN;2019-11-21T16:09:50.468Z;"3,""Directoriodeafrocubanas.com"",""http://directoriodeafrocubanas.com http://www.directoriodeafrocubanas.com https://directoriodeafrocubanas.com https://www.directoriodeafrocubanas.com"",""5"",""1073"",""197"",""IN"",""2019-11-21T16:09:50.468Z"""
172;Facebook.com /colectivoAfrofeminista;http://facebook.com/colectivoAfrofeminista http://www.facebook.com/colectivoAfrofeminista https://facebook.com/colectivoAfrofeminista https://www.facebook.com/colectivoAfrofeminista;3;142;28;IN;2019-11-21T16:09:50.480Z;"172,""Facebook.com /colectivoAfrofeminista"",""http://facebook.com/colectivoAfrofeminista http://www.facebook.com/colectivoAfrofeminista https://facebook.com/colectivoAfrofeminista https://www.facebook.com/colectivoAfrofeminista"",""3"",""142"",""28"",""IN"",""2019-11-21T16:09:50.480Z"""
176;Facebook.com /saragomezyera;http://facebook.com/saragomezyera http://www.facebook.com/saragomezyera https://facebook.com/saragomezyera https://www.facebook.com/saragomezyera;2;524;73;IN;2019-11-21T16:09:50.472Z;"176,""Facebook.com /saragomezyera"",""http://facebook.com/saragomezyera http://www.facebook.com/saragomezyera https://facebook.com/saragomezyera https://www.facebook.com/saragomezyera"",""2"",""524"",""73"",""IN"",""2019-11-21T16:09:50.472Z"""
177;Facebook.com /AlianzaAfroCubana;http://facebook.com/AlianzaAfroCubana http://www.facebook.com/AlianzaAfroCubana https://facebook.com/AlianzaAfroCubana https://www.facebook.com/AlianzaAfroCubana;3;76;23;IN;2019-11-21T16:09:50.483Z;"177,""Facebook.com /AlianzaAfroCubana"",""http://facebook.com/AlianzaAfroCubana http://www.facebook.com/AlianzaAfroCubana https://facebook.com/AlianzaAfroCubana https://www.facebook.com/AlianzaAfroCubana"",""3"",""76"",""23"",""IN"",""2019-11-21T16:09:50.483Z"""
245;Facebook.com /odette.casamayor;http://facebook.com/odette.casamayor http://www.facebook.com/odette.casamayor https://facebook.com/odette.casamayor https://www.facebook.com/odette.casamayor;2;7;7;IN;2019-11-21T15:55:42.861Z;"245,""Facebook.com /odette.casamayor"",""http://facebook.com/odette.casamayor http://www.facebook.com/odette.casamayor https://facebook.com/odette.casamayor https://www.facebook.com/odette.casamayor"",""2"",""7"",""7"",""IN"",""2019-11-21T15:55:42.861Z"""
256;Facebook.com /Afrofeminas;http://facebook.com/Afrofeminas http://www.facebook.com/Afrofeminas https://facebook.com/Afrofeminas https://www.facebook.com/Afrofeminas;4;165;32;IN;2019-11-21T16:09:50.478Z;"256,""Facebook.com /Afrofeminas"",""http://facebook.com/Afrofeminas http://www.facebook.com/Afrofeminas https://facebook.com/Afrofeminas https://www.facebook.com/Afrofeminas"",""4"",""165"",""32"",""IN"",""2019-11-21T16:09:50.478Z"""
328;Twitter.com /Negracubana;http://twitter.com/Negracubana http://www.twitter.com/Negracubana https://twitter.com/Negracubana https://www.twitter.com/Negracubana;2;1161;72;IN;2019-11-21T16:09:50.467Z;"328,""Twitter.com /Negracubana"",""http://twitter.com/Negracubana http://www.twitter.com/Negracubana https://twitter.com/Negracubana https://www.twitter.com/Negracubana"",""2"",""1161"",""72"",""IN"",""2019-11-21T16:09:50.467Z"""
